Rank,Runner,Flag,Country,Total Score,Performance Score,Volume Bonus,Variety Bonus,Prolific Score,Unique Boards,Unique Games,WRs,Top 3s,Top 10s,Medal Score,Depth Score,Average Place,Profile
1473,Alicon,,Sweden,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/Alicon
1474,Boz,,United States,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/Boz
1475,Chab0z,,Québec,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/Chab0z
1476,Chory,,Poland,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/Chory
1477,compugab,,Québec,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/compugab
1478,DeadGuyDrives,,United States,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/DeadGuyDrives
1479,DonkeyMario65,,United States,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/DonkeyMario65
1480,LakituBro,,United States,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/LakituBro
1481,lamons,,Québec,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/lamons
1482,Link130890,,Italy,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/Link130890
1483,MinecraftGuy12474,,Poland,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/MinecraftGuy12474
1484,SomeSpeedrunner,,Germany,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/SomeSpeedrunner
1485,trioiypfdt,,United States,67.75,59.75,8,0,1,1,1,0,0,0,0,10.8,1086,https://www.speedrun.com/users/trioiypfdt
1486,DeMoNFLiP84,,United States,67.5,43.64,13.86,10,3,3,2,0,0,0,0,11.77,519.67,https://www.speedrun.com/users/DeMoNFLiP84
1487,Yarocrafter,,Belarus,67.28,59.28,8,0,1,1,1,0,0,0,0,8.14,36,https://www.speedrun.com/users/Yarocrafter
1488,hamburger0421,,Philippines,66.55,58.55,8,0,1,1,1,0,0,0,0,9.48,224,https://www.speedrun.com/users/hamburger0421
1489,willustop1,,United States,66.55,58.55,8,0,1,1,1,0,0,0,0,9.48,224,https://www.speedrun.com/users/willustop1
1490,Annorax,,United States,66.55,36.95,19.6,10,6,6,2,0,1,3,6,8.47,306,https://www.speedrun.com/users/Annorax
1491,k1ng_d0ughnut21,,,66.53,52.67,13.86,0,3,3,1,0,0,0,0,11.55,201,https://www.speedrun.com/users/k1ng_d0ughnut21
